GEOID10,Tot_2018_ltg,Dem_2018_ltg,Rep_2018_ltg,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
400217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,205,206
400218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,165,171
400219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,925,345,580
4002110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601,643,958
4002111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,137,213
4002112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,270,358
4002113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,276,284
4002114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666,340,326
4002115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005,327,678
4002116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,212,274
4002117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,86,124
4002118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,165,208
4002119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951,401,550
4002120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694,323,371
4002121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,179,223
4002122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,132,172
4002123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,72,142
4002124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,182,221
4002125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,298,268
40023101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,238,510
40023104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,171,408
40023105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,199,98
40023106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,91,247
