GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
120860934,0,0,0,0,0,0,0,0,0
120860935,0,0,0,0,0,0,735,380,352
120860936,0,0,0,0,0,0,1598,626,968
120860937,0,0,0,0,0,0,4,2,2
120860938,0,0,0,0,0,0,945,461,478
120860939,0,0,0,0,0,0,779,265,509
120860940,0,0,0,0,0,0,527,272,254
120860941,0,0,0,0,0,0,1218,563,649
120860942,0,0,0,0,0,0,2,1,1
120860943,0,0,0,0,0,0,914,404,508
120860944,0,0,0,0,0,0,1033,467,564
120860945,0,0,0,0,0,0,1093,522,568
120860946,0,0,0,0,0,0,2522,1035,1480
120860947,0,0,0,0,0,0,613,207,405
120860948,0,0,0,0,0,0,658,322,336
120860949,0,0,0,0,0,0,76,37,38
120860950,0,0,0,0,0,0,636,310,322
120860951,0,0,0,0,0,0,41,20,21
120860952,0,0,0,0,0,0,0,0,0
120860953,0,0,0,0,0,0,0,0,0
120860954,0,0,0,0,0,0,6,3,3
120860955,0,0,0,0,0,0,1569,1293,268
120860956,0,0,0,0,0,0,204,168,35
120860957,0,0,0,0,0,0,37,31,6
120860958,0,0,0,0,0,0,98,80,17
120860959,0,0,0,0,0,0,48,40,8
120860960,0,0,0,0,0,0,50,25,25
120860961,0,0,0,0,0,0,524,264,258
120860962,0,0,0,0,0,0,0,0,0
120860963,0,0,0,0,0,0,0,0,0
120860964,0,0,0,0,0,0,45,23,22
120860965,0,0,0,0,0,0,225,102,118
120860966,0,0,0,0,0,0,356,164,190
120860967,0,0,0,0,0,0,1121,665,454
120860968,0,0,0,0,0,0,49,29,20
120860969,0,0,0,0,0,0,42,25,17
120860970,0,0,0,0,0,0,23,14,9
