GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
470653452,0,0,0,1539,986,524
470653456,0,0,0,1410,613,782
470653458,0,0,0,648,333,308
470653460,0,0,0,780,539,231
470653464,0,0,0,840,380,457
470653465,0,0,0,1196,581,601
470653467,0,0,0,12,2,10
470653471,0,0,0,40,27,13
470653472,0,0,0,2143,718,1389
470653473,0,0,0,16,13,3
470653476,0,0,0,711,610,98
470653480,0,0,0,1523,391,1114
470653481,0,0,0,1250,306,937
470653484,0,0,0,1366,322,1019
470653488,0,0,0,3643,1234,2337
470653491,0,0,0,151,38,113
470653492,0,0,0,2071,883,1163
470653496,0,0,0,2442,941,1466
470653500,0,0,0,1211,402,801
470653504,0,0,0,1491,503,952
470653508,0,0,0,2304,794,1484
470653512,0,0,0,1744,635,1094
